   TEMP	   DEWP	  SLP  	  STP  	 VISIB	  WSDP	 MXSPD	  GUST	   MAX  	  MIN  	PRCP  	SNDP 	 FRSHTT
75.6	66.6	9999.9	9999.9	3.1	3.1	9.9	999.9	86.7	68	0	999.9	0
77.8	67.9	9999.9	9999.9	3.3	4.3	9.9	999.9	87.8	67.3	0	999.9	0
78.4	70.1	9999.9	9999.9	3.3	2.6	8	999.9	85.6	70.9	0	999.9	0
78.5	70.9	9999.9	9999.9	3.2	4.4	12	999.9	87.8	71.6	0	999.9	32
79.3	70.2	9999.9	9999.9	3.6	6	14	999.9	86	71.6	0	999.9	32
80.9	70	9999.9	9999.9	4	7.5	15	999.9	87.1	75.2	0	999.9	16
80.6	71.3	9999.9	9999.9	3.8	6.8	9.9	999.9	87.1	77	0.01	999.9	0
80	70.1	9999.9	9999.9	3.9	4.5	9.9	999.9	88.5	73.8	0	999.9	0
79.4	69.4	9999.9	9999.9	3.7	3.5	9.9	999.9	88.5	71.6	0	999.9	0
80.2	70.3	9999.9	9999.9	3.7	4.6	9.9	999.9	87.8	71.6	0	999.9	32
78.5	70	9999.9	9999.9	3.9	3.2	11.1	999.9	86	72.7	0	999.9	32
79	70.5	9999.9	9999.9	3.6	5	13	999.9	87.8	72	0	999.9	0
78.6	69.5	9999.9	9999.9	3.5	3.2	8	999.9	87.8	69.8	0	999.9	0
78.3	68.8	9999.9	9999.9	3.8	6.4	13	999.9	87.8	69.8	0	999.9	0
79.1	69.1	9999.9	9999.9	4.2	5	12	999.9	87.8	69.8	0	999.9	0
80.3	70.2	9999.9	9999.9	4	6.4	12	999.9	87.1	75.2	0	999.9	0
77.6	72.6	9999.9	9999.9	2.9	2.4	8	999.9	82.8	73.4	0	999.9	16
78	72.8	9999.9	9999.9	3.2	4	9.9	999.9	82.8	74.1	0.2	999.9	16
79.3	70.8	9999.9	9999.9	3.4	6.5	15	999.9	86	73.4	0	999.9	0
78.1	69.5	9999.9	9999.9	3.9	5.9	14	999.9	84.2	71.6	0.04	999.9	16
78.2	69.6	9999.9	9999.9	4.3	3.7	9.9	999.9	86	69.8	0	999.9	0
76.8	68.3	9999.9	9999.9	3.8	3	13	999.9	86.4	68.9	0	999.9	0
77.2	65.8	9999.9	9999.9	3.4	3.9	12	999.9	85.6	69.1	0	999.9	0
77.3	66.1	9999.9	9999.9	3.8	4.2	14	999.9	86	69.8	0	999.9	0
77.5	68.3	9999.9	9999.9	3.8	3.2	12	999.9	86	69.8	0	999.9	0
79.1	69.4	9999.9	9999.9	4	4.2	14	999.9	87.8	71.2	0	999.9	0
78.3	67.4	9999.9	9999.9	3.3	3.5	14	20	87.8	71.6	0	999.9	0
78.8	66.2	9999.9	9999.9	3.7	4.4	14	999.9	87.8	69.8	0	999.9	0
77.6	66.7	9999.9	9999.9	3.8	3.4	9.9	999.9	90.3	66.2	0	999.9	0
78.8	65.8	9999.9	9999.9	3.4	3.4	9.9	999.9	91.4	66.2	0	999.9	0
80	65.8	9999.9	9999.9	3.7	4	9.9	999.9	95	68	0	999.9	0
81.2	68.7	9999.9	9999.9	3.8	5.4	12	999.9	95	71.2	0	999.9	32
81.6	71.1	9999.9	9999.9	3.6	5.3	12	999.9	93.9	73.4	0	999.9	32
80.7	70.9	9999.9	9999.9	3.2	4.9	9.9	999.9	93.2	71.6	0	999.9	0
79.4	70.1	9999.9	9999.9	3.5	4.7	12	999.9	90.3	70.9	0	999.9	32
80	69.8	9999.9	9999.9	4.1	4.3	14	999.9	90.1	69.4	0	999.9	0
79.4	69	9999.9	9999.9	3.6	5.4	12	999.9	87.8	71.6	0	999.9	0
80.9	70.4	9999.9	9999.9	4.1	5.3	15	999.9	87.8	75.2	0	999.9	0
80.8	70	9999.9	9999.9	3.5	5.2	12	999.9	88.5	75.2	0	999.9	0
80.7	69.5	9999.9	9999.9	3.6	3.3	12	999.9	89.6	73.4	0	999.9	0
81	68.9	9999.9	9999.9	3.5	4.2	14	999.9	91.4	71.6	0	999.9	0
81.6	66.1	9999.9	9999.9	4.6	3.7	9.9	999.9	93.2	71.6	0	999.9	0
81	65.1	9999.9	9999.9	3.5	3.2	9.9	999.9	95	69.8	0	999.9	0
81.3	66.6	9999.9	9999.9	3.9	3.9	12	999.9	92.1	69.4	0	999.9	0
80.2	68.4	9999.9	9999.9	3.6	3.5	9.9	999.9	87.8	73.4	0	999.9	0
81.3	68.7	9999.9	9999.9	3.7	3.4	9.9	999.9	89.6	71.6	0	999.9	0
79.6	67.5	9999.9	9999.9	3.7	4.1	12	999.9	89.2	73.4	0	999.9	0
82.9	70.2	9999.9	9999.9	4.1	5.8	13	999.9	89.6	73.8	0	999.9	0
82.2	71.2	9999.9	9999.9	3.7	5.3	13	999.9	88.9	75.6	0	999.9	0
81.2	70.1	9999.9	9999.9	4.1	5.2	12	999.9	90	73.4	0	999.9	0
82.3	70.3	9999.9	9999.9	3.7	5.6	12	999.9	89.6	73.4	0	999.9	0
83.3	70.2	9999.9	9999.9	4	6.9	13	999.9	90	75.2	0	999.9	16
82.5	71.1	9999.9	9999.9	3.7	6	13	999.9	88.2	76.3	0.08	999.9	0
82.7	71.1	9999.9	9999.9	3.2	4.8	12	999.9	91.4	76.3	0	999.9	0
83.5	71.4	9999.9	9999.9	3.7	6	13	999.9	91.4	77	0	999.9	0
85.1	71.8	9999.9	9999.9	3.8	6.9	12	999.9	95	77.4	0	999.9	0
83	70.5	9999.9	9999.9	3.5	6.3	15.9	999.9	91.4	77	0	999.9	0
83.1	66.8	9999.9	9999.9	3.6	5	13	999.9	91.9	76.6	0	999.9	0
82	68.8	9999.9	9999.9	3.9	5	13	999.9	91.4	75.2	0	999.9	0
83.8	69.8	9999.9	9999.9	3.9	5.4	13	999.9	92.1	77	0	999.9	0
80.1	67.3	9999.9	9999.9	4	4	12	999.9	89.6	71.6	0	999.9	0
82.5	65.2	9999.9	9999.9	3.9	4.5	9.9	999.9	91.4	73.4	0	999.9	0
81.6	66.1	9999.9	9999.9	4	5.6	9.9	999.9	89.6	74.1	0	999.9	0
83.3	67.1	1010.8	1009	4.4	5.1	13	999.9	94.6	73.9	0	999.9	0
83.5	69.5	9999.9	9999.9	4.2	6.7	15	999.9	91.8	77	0	999.9	0
83.9	68.7	9999.9	9999.9	3.8	6.6	15.9	999.9	93.2	75.2	0	999.9	0
85	70.7	9999.9	9999.9	3.8	8.4	15	22.9	93.2	78.4	0	999.9	0
86.3	70.8	9999.9	9999.9	3.4	9.1	14	999.9	93.2	81.3	0	999.9	0
86.9	71.9	9999.9	9999.9	3.5	8.5	15	999.9	96.8	81	0	999.9	0
86.9	73.9	9999.9	9999.9	3.4	7.8	13	999.9	96.4	80.6	0	999.9	0
85.9	72.9	9999.9	9999.9	4.2	6.6	15.9	999.9	95.4	78.8	0	999.9	0
85.4	72.7	9999.9	9999.9	4.1	7.5	12	999.9	96.1	78.1	0	999.9	0
85.9	71.7	9999.9	9999.9	3.9	7.4	13	999.9	97.9	78.1	0	999.9	0
86.2	74	9999.9	9999.9	3.9	6.7	14	999.9	95.7	79.2	0	999.9	0
85.7	72.9	9999.9	9999.9	3.9	6.6	14	999.9	96.1	79.7	0	999.9	0
86.1	72.7	9999.9	9999.9	4.1	7.3	12	999.9	93.2	79.5	0	999.9	0
85.2	75.4	9999.9	9999.9	4.7	5.1	12	999.9	92.8	78.8	0	999.9	16
82.2	73.8	9999.9	9999.9	3.6	3.5	14	999.9	91	78.8	0.24	999.9	16
78.8	74.5	9999.9	9999.9	2.4	2.8	15	999.9	87.8	73.4	0.02	999.9	18
75.9	74.5	9999.9	9999.9	1.6	0.1	1.9	999.9	79.2	73.4	1.22	999.9	48
79.7	75.3	9999.9	9999.9	3.1	1.5	7	999.9	86	75.2	4.8	999.9	18
80.5	74.6	9999.9	9999.9	2.6	0.7	9.9	999.9	87.8	77	0.08	999.9	18
83.3	76.2	9999.9	9999.9	3.9	3.4	9.9	999.9	91.4	77	0.04	999.9	0
81.3	76.2	9999.9	9999.9	3.4	3.9	13	999.9	86.4	78.1	0	999.9	16
85.5	77.4	9999.9	9999.9	4	5.7	12	999.9	91.8	78.8	0	999.9	0
83.5	76.5	9999.9	9999.9	3.4	5.7	9.9	999.9	92.1	80.6	0	999.9	2
84.5	77	9999.9	9999.9	3.8	5.7	12	999.9	92.5	80.6	0	999.9	0
84.6	74.7	9999.9	9999.9	4.2	5.8	13	999.9	90.7	78.8	0	999.9	0
84.9	76.2	9999.9	9999.9	4.9	5.7	14	999.9	93.2	78.8	0	999.9	0
85.1	75.1	9999.9	9999.9	4	5.1	9.9	999.9	93.2	78.8	0	999.9	0
84.8	76.2	9999.9	9999.9	4.1	3.7	9.9	999.9	93.2	78.8	0	999.9	0
85.9	74.2	9999.9	9999.9	4.8	4.9	12	999.9	96.1	78.8	0	999.9	0
85.3	76.2	9999.9	9999.9	4.4	5.8	12	999.9	93.2	78.8	0	999.9	0
85.1	76.2	9999.9	9999.9	4.6	3.6	9.9	999.9	93.2	78.8	0	999.9	0
82.5	74.6	9999.9	9999.9	4.1	3.2	12	999.9	93.2	75.2	0	999.9	0
82.6	71.8	9999.9	9999.9	4.5	3.9	12	999.9	93.2	77	0	999.9	0
83.6	72.6	9999.9	9999.9	4.5	5.8	9.9	999.9	96.4	75.2	0	999.9	0
83	74.2	9999.9	9999.9	4.6	5.2	9.9	999.9	94.3	78.8	0	999.9	0
84.2	75.3	9999.9	9999.9	4.3	4.9	12	999.9	95.4	77	0	999.9	0
83.5	76.1	9999.9	9999.9	4.5	5	9.9	999.9	93.9	78.8	0	999.9	0
84.6	75.8	9999.9	9999.9	4.8	4.7	9.9	999.9	95.2	78.8	0	999.9	0
85.1	76.9	9999.9	9999.9	4.6	6.9	13	999.9	96.8	80.6	0	999.9	0
85.8	77.1	9999.9	9999.9	4.6	6	12	999.9	98.6	78.8	0	999.9	16
84.5	75.9	9999.9	9999.9	4.8	6.4	9.9	999.9	98.6	78.8	0.02	999.9	0
85.1	77.7	9999.9	9999.9	3.9	7	9.9	999.9	94.5	80.6	0	999.9	0
83.9	76.5	9999.9	9999.9	4.3	5.6	12	999.9	95.5	74.8	0	999.9	26
83.7	75.1	9999.9	9999.9	4	3.5	9.9	999.9	93.9	73.8	1.34	999.9	0
81.4	74.7	9999.9	9999.9	3.1	3.5	9.9	999.9	93.2	75.2	0	999.9	18
81.9	75.6	9999.9	9999.9	3	3.8	8	999.9	91.4	75.2	0.71	999.9	18
85	75.4	9999.9	9999.9	4.3	3.4	9.9	999.9	94.6	78.1	0.02	999.9	0
87.1	77.7	9999.9	9999.9	3.9	4.3	9.9	999.9	97.2	81.7	0	999.9	0
88	76.5	9999.9	9999.9	4.7	6.1	12	999.9	96.8	82.4	0	999.9	0
88.7	76.8	9999.9	9999.9	4.6	6.6	9.9	999.9	99.3	82.4	0	999.9	0
89	75.8	9999.9	9999.9	3.9	5.7	9.9	999.9	97.5	82.4	0	999.9	0
90.3	75.8	9999.9	9999.9	4.1	7.5	14	999.9	104.4	84.2	0	999.9	0
90.8	74.3	9999.9	9999.9	4.3	5.1	9.9	999.9	104.7	84.2	0	999.9	0
90.1	76.1	9999.9	9999.9	4.5	6.9	12	999.9	102.2	84.2	0	999.9	0
90.1	76.4	9999.9	9999.9	4.3	7.2	13	999.9	100.4	84.2	0	999.9	0
89.3	77.9	9999.9	9999.9	4.4	8.4	15	999.9	100.4	84.2	0	999.9	0
90	77	9999.9	9999.9	4.6	8.2	13	999.9	104	83.1	0	999.9	0
90.5	76.5	9999.9	9999.9	4.6	8.1	11.1	999.9	102.6	82.4	0	999.9	0
89.8	75.9	9999.9	9999.9	4.7	8.4	14	999.9	102.2	82.4	0	999.9	0
88.7	77	9999.9	9999.9	4.3	8	15	999.9	100.4	82.4	0	999.9	0
87.1	77.7	9999.9	9999.9	4.6	7.9	12	999.9	95.4	82.4	0	999.9	0
87.9	74.7	9999.9	9999.9	4.7	8.2	13	999.9	96.8	80.6	0	999.9	0
88	75	9999.9	9999.9	4.9	8.1	13	999.9	97.5	82.4	0	999.9	0
87.5	77.6	9999.9	9999.9	4.1	6.7	9.9	999.9	96.8	83.3	0	999.9	0
89	77.5	9999.9	9999.9	4.4	8.4	13	999.9	102.9	82.4	0	999.9	0
89.2	76.5	9999.9	9999.9	4.3	8.5	13	999.9	99.3	82.4	0	999.9	0
89.8	77.1	9999.9	9999.9	4.1	7.4	13	999.9	102.2	83.5	0	999.9	0
86.5	74.3	9999.9	9999.9	3.9	6.9	25.1	35	99.3	82.4	0	999.9	0
88.7	74	9999.9	9999.9	4.2	4.9	9.9	999.9	100	82.4	0	999.9	0
86.4	74.7	9999.9	9999.9	3.8	5.9	15	999.9	95	80.6	0	999.9	0
84.7	73.7	9999.9	9999.9	3.9	5.1	9.9	999.9	99.1	78.8	0	999.9	0
86.4	74.4	9999.9	9999.9	4.1	6.3	13	999.9	100.4	78.8	0	999.9	0
88	74.9	9999.9	9999.9	4.1	7.5	13	999.9	99.9	82.4	0	999.9	0
90.8	73.6	9999.9	9999.9	4.5	8.5	13	999.9	104	82.4	0	999.9	0
90.7	72.4	9999.9	9999.9	4.5	7.1	11.1	999.9	104.7	83.5	0	999.9	16
90.4	74.2	9999.9	9999.9	4.5	6.4	12	999.9	103.6	84.2	0.02	999.9	18
90	74.5	9999.9	9999.9	4.5	7.6	13	999.9	103.5	80.6	0.01	999.9	0
88.2	74.3	9999.9	9999.9	4.6	7	12	999.9	98.6	80.6	0	999.9	0
90.1	72.3	9999.9	9999.9	4.7	8.6	12	999.9	102.6	82.4	0	999.9	0
90.4	74.7	9999.9	9999.9	4.3	6.7	12	999.9	100.4	84.2	0	999.9	0
87.2	75.6	9999.9	9999.9	3.1	5.2	12	999.9	100.4	78.8	0.12	999.9	18
87	71.8	9999.9	9999.9	4	7.1	12	999.9	97.5	80.6	0	999.9	0
89.4	71.5	9999.9	9999.9	4.6	6.9	12	999.9	99.3	82.4	0	999.9	0
92.1	68.1	9999.9	9999.9	4.8	8.3	14	999.9	100.4	84.2	0	999.9	0
92	68.4	9999.9	9999.9	4.7	7.6	12	999.9	105.1	84.2	0	999.9	0
91.2	72.4	9999.9	9999.9	4.6	6.9	14	999.9	105.1	84.2	0	999.9	0
89.5	70.5	9999.9	9999.9	4.8	6.8	11.1	999.9	100.4	84.2	0	999.9	0
92.3	72.7	9999.9	9999.9	4.6	7.5	14	999.9	102.6	84.2	0	999.9	0
91.7	74.2	9999.9	9999.9	4.9	6.7	34	999.9	104.7	86	0	999.9	0
94.5	69.9	9999.9	9999.9	4.9	9.3	14	999.9	104.4	86	0	999.9	0
92.4	69.2	9999.9	9999.9	5.2	10.8	15	999.9	101.1	84.2	0	999.9	0
91.6	69.1	9999.9	9999.9	5	7.5	13	999.9	102.9	84.2	0	999.9	0
86	73.2	9999.9	9999.9	4.6	8.3	14	999.9	104.5	77	0.12	999.9	18
83.3	71.9	9999.9	9999.9	3.8	5.7	9.9	999.9	86.7	77	0	999.9	16
84.3	72.4	9999.9	9999.9	4.1	6.6	12	999.9	95.4	77	0	999.9	18
88.7	71.9	9999.9	9999.9	4.7	6.2	13	999.9	98.6	80.6	0.08	999.9	0
85.8	72.6	9999.9	9999.9	4.4	6.5	12	999.9	97.9	78.8	0	999.9	18
86.9	69.7	9999.9	9999.9	4.6	7.3	12	999.9	94.3	80.6	0.2	999.9	0
88.3	70.2	9999.9	9999.9	4.9	7.6	13	999.9	96.8	80.6	0	999.9	0
90.5	68.5	9999.9	9999.9	4.7	9	15.9	999.9	97.7	84.2	0	999.9	0
88.4	68.1	9999.9	9999.9	5	8.6	14	999.9	94.3	82.4	0	999.9	0
89.2	67.7	9999.9	9999.9	4.8	8.4	14	999.9	99.7	82.2	0	999.9	0
88.4	71.1	9999.9	9999.9	4.8	7.7	15	999.9	100.8	82.4	0	999.9	0
90.2	72.2	9999.9	9999.9	4.4	7.1	13	999.9	97.5	82.4	0	999.9	0
89.2	70.1	9999.9	9999.9	4.8	6.5	15.9	999.9	100.4	82.4	0	999.9	16
90.5	70.8	9999.9	9999.9	4.9	8.2	13	999.9	102.4	82.4	0	999.9	0
89.6	72.1	9999.9	9999.9	4.9	8	14	22	102.2	82.4	0	999.9	0
88.3	71.1	9999.9	9999.9	4.2	5.7	16.9	999.9	96.8	82	0.08	999.9	16
87.5	70.1	9999.9	9999.9	3.9	7.2	12	20	96.8	78.8	0	999.9	0
88.7	72.1	9999.9	9999.9	4.1	7.3	13	999.9	98.6	80.6	0	999.9	0
86.4	76.3	9999.9	9999.9	3.7	6.3	9.9	999.9	97.5	80.6	0	999.9	16
86.4	77.3	9999.9	9999.9	3.9	6	15.9	999.9	97.9	80.6	0.04	999.9	0
86.9	75.6	9999.9	9999.9	4.1	6.3	12	999.9	100	77	0	999.9	16
88.3	77.4	9999.9	9999.9	4.1	3.9	8.9	999.9	96.8	82.4	0	999.9	16
88.4	75.4	9999.9	9999.9	5.1	4	9.9	999.9	97.9	82.4	0	999.9	0
86	74.5	9999.9	9999.9	4.2	3.7	11.1	999.9	93.9	80.6	0	999.9	0
85.1	73.3	9999.9	9999.9	4.1	3.1	12	999.9	95.7	78.8	0	999.9	0
86.2	75.5	9999.9	9999.9	4.4	4.2	8.9	999.9	93.9	78.8	0	999.9	16
84.3	75.7	9999.9	9999.9	3.9	3.8	9.9	999.9	92.1	78.8	0	999.9	0
83.1	74.7	9999.9	9999.9	4.1	3.6	7	999.9	91	78.8	0	999.9	0
86.4	74.8	9999.9	9999.9	4.3	4.4	9.9	999.9	95	78.8	0	999.9	0
86.4	75.5	9999.9	9999.9	4.2	5.8	9.9	999.9	95	77	0	999.9	16
85.2	75.4	9999.9	9999.9	3.9	5.3	9.9	999.9	96.4	75.9	99.99	999.9	18
86.5	75.4	9999.9	9999.9	4.1	3.3	15	999.9	96.8	77	1.5	999.9	0
85.6	74.6	9999.9	9999.9	4.5	5.3	15	999.9	95	77	0	999.9	18
82.9	75.8	9999.9	9999.9	3.4	4.5	9.9	999.9	93.2	75.9	0.51	999.9	18
84.8	74.5	9999.9	9999.9	4.2	7.5	14	999.9	93.2	74.8	1.18	999.9	0
83.2	73.3	9999.9	9999.9	4	6.2	12	999.9	89.6	79.5	0	999.9	16
85.9	73.4	9999.9	9999.9	4.4	8.5	22	33	95	80.2	0.12	999.9	16
87.3	72.6	9999.9	9999.9	4.7	8.1	14	999.9	96.8	80.6	0.03	999.9	0
86.1	74.5	9999.9	9999.9	4.3	6.3	15	999.9	96.8	80.2	0	999.9	16
85.9	73	9999.9	9999.9	4.7	7.8	14	999.9	95	80.2	0.08	999.9	0
88.5	73.4	9999.9	9999.9	4.6	7.2	15.9	999.9	98.6	80.6	0.01	999.9	16
88.8	72	9999.9	9999.9	4.6	8.3	14	20	96.8	80.6	0	999.9	16
88.1	71.1	9999.9	9999.9	4	8.5	15.9	999.9	93.2	82.4	0	999.9	16
89.3	71.6	9999.9	9999.9	4.3	8.8	15.9	20	95.4	82.4	0	999.9	0
89.6	71.3	9999.9	9999.9	4	8.1	12	999.9	96.8	82.4	0	999.9	0
87.1	71.8	9999.9	9999.9	4.4	6.5	15.9	999.9	97.2	80.6	0.02	999.9	16
88.1	70.3	9999.9	9999.9	4.5	6.6	9.9	999.9	97.5	80.2	0	999.9	0
88.8	72.5	9999.9	9999.9	4.6	7.9	15	999.9	98.6	80.6	0.04	999.9	0
88.2	72.4	9999.9	9999.9	4.7	7.6	14	999.9	100.6	81.5	0	999.9	16
86.5	71.4	9999.9	9999.9	4.1	4.6	12	999.9	95	80.6	0	999.9	16
86	71.6	9999.9	9999.9	4.2	5.5	12	999.9	93.2	78.8	0	999.9	16
86	72.3	9999.9	9999.9	4.2	7.1	12	999.9	96.8	77.4	0	999.9	16
87.6	71.1	9999.9	9999.9	4.6	6.9	14	999.9	95.4	80.6	0.2	999.9	0
87.2	69.1	9999.9	9999.9	4.7	6.7	9.9	999.9	99	80.6	0	999.9	0
87.3	68.2	9999.9	9999.9	6	7.9	13	999.9	101.5	78.8	0	999.9	0
84.6	73.8	9999.9	9999.9	3.4	5.4	12	999.9	98.6	75.2	0.01	999.9	18
79.3	72	9999.9	9999.9	3.2	3.8	13	999.9	92.1	75.2	1.38	999.9	16
80.6	73.3	9999.9	9999.9	4	4.1	12	999.9	91.8	75.2	0.43	999.9	18
86.1	74	9999.9	9999.9	4.7	6.1	14	999.9	95	80.6	0.01	999.9	0
85.9	72	9999.9	9999.9	4.4	5.7	9.9	999.9	95	80.6	0	999.9	0
85.1	73.8	9999.9	9999.9	4.3	5.7	15	999.9	96.8	78.8	0.12	999.9	16
85.5	73.2	9999.9	9999.9	4.7	5.3	12	999.9	96.8	78.8	0.28	999.9	0
88	73.8	9999.9	9999.9	4.6	4.6	9.9	999.9	97	79.7	0	999.9	0
86.3	73.4	9999.9	9999.9	4.2	5.2	9.9	999.9	95.4	80.6	0	999.9	0
86.7	73.3	9999.9	9999.9	4.3	6.9	12	999.9	95.4	78.8	0	999.9	0
84.8	72.9	9999.9	9999.9	4.6	5.6	9.9	999.9	95	77.9	0	999.9	0
82	73.4	9999.9	9999.9	3.8	5	12	999.9	98.6	76.8	0.12	999.9	18
84.7	72.6	9999.9	9999.9	4.3	4.2	9.9	999.9	96.8	77	0	999.9	0
85.4	73.7	9999.9	9999.9	4.5	4.2	9.9	999.9	97	77.9	0	999.9	0
86.9	74.3	9999.9	9999.9	5	5	9.9	999.9	96.3	79.2	0	999.9	0
87.1	75	9999.9	9999.9	4.5	4.4	12	999.9	95.4	79.9	0	999.9	0
86.7	75.8	9999.9	9999.9	4	3.6	12	999.9	96.8	80.6	99.99	999.9	16
85.7	73.7	9999.9	9999.9	4.1	4.5	13	999.9	96.8	77	0.12	999.9	18
83.9	73	9999.9	9999.9	4.1	2	5.1	999.9	97.2	79.2	0	999.9	0
86	74.3	9999.9	9999.9	3.9	4.5	9.9	999.9	96.1	78.8	0	999.9	0
85.7	74.1	9999.9	9999.9	3.9	2.8	8	999.9	95.7	79.5	0	999.9	0
86.5	74.7	9999.9	9999.9	4	4.5	8.9	999.9	95.2	78.8	99.99	999.9	16
86.1	74	9999.9	9999.9	4.1	2.6	6	999.9	95.4	78.4	0	999.9	0
83	74	9999.9	9999.9	3.6	2.7	8	999.9	93.7	77.7	0.28	999.9	18
80.9	74.8	9999.9	9999.9	3.5	2.2	8	999.9	84.9	77	0.12	999.9	16
83.7	74.6	9999.9	9999.9	3.8	2.9	8	999.9	93.9	77	1.97	999.9	18
82.8	75.3	1004.5	1002.8	3.4	3.8	15.9	999.9	94.3	77.4	0.94	999.9	18
82.3	73.4	9999.9	9999.9	3.6	5.1	8.9	999.9	89.6	75.2	99.99	999.9	18
84.5	73.4	9999.9	9999.9	4.4	6.8	12	999.9	91	75	0.47	999.9	0
86.4	71.6	9999.9	9999.9	4.6	7.8	13	999.9	92.3	72.9	0	999.9	16
87	72.3	9999.9	9999.9	4.6	7.1	16.9	999.9	95	81.1	0	999.9	0
86.9	74.1	9999.9	9999.9	4.6	4.8	9.9	999.9	96.8	78.8	0	999.9	0
85	73.8	9999.9	9999.9	4.1	5.4	9.9	999.9	92.5	79.9	0	999.9	0
86.4	73.4	9999.9	9999.9	4.5	5.3	9.9	999.9	96.1	78.1	0	999.9	0
86.8	72.9	9999.9	9999.9	4.6	4.9	9.9	999.9	96.8	79.9	0	999.9	0
87.3	70.4	9999.9	9999.9	5.1	6.6	13	999.9	96.8	79.5	0	999.9	0
86.1	69	9999.9	9999.9	4.3	6.8	15	999.9	93.7	81	0	999.9	0
86.5	68.3	9999.9	9999.9	4.6	7.9	15	20	93.2	81	0	999.9	0
86.6	70.6	9999.9	9999.9	4.8	9.3	15	999.9	96.3	78.4	0	999.9	0
86.1	73.7	9999.9	9999.9	4.9	6.3	14	999.9	94.1	79.7	99.99	999.9	18
85.9	74.4	9999.9	9999.9	4.4	5.9	11.1	999.9	95.9	77.9	0	999.9	0
86.2	73.5	9999.9	9999.9	4.3	4.9	13	999.9	96.8	74.5	0	999.9	18
84.9	74.6	9999.9	9999.9	4.8	4.3	9.9	999.9	95	72	1.14	999.9	16
84.8	73.7	9999.9	9999.9	4.7	4	8	999.9	96.1	76.1	0	999.9	0
83	74	9999.9	9999.9	3.3	2.1	9.9	999.9	94.5	78.8	0	999.9	18
82.4	73.7	9999.9	9999.9	4.3	4.7	8	999.9	93.9	77	0	999.9	0
79.4	73	9999.9	9999.9	4.2	3.7	12	999.9	94.1	71.6	0.24	999.9	18
81.3	74.5	9999.9	9999.9	4	2.4	7	999.9	91	76.1	0	999.9	0
80.9	74.2	9999.9	9999.9	3.8	2.8	9.9	999.9	93.9	77	1.06	999.9	16
80.3	74.8	9999.9	9999.9	3	1.4	8	999.9	91.4	75.2	0.59	999.9	18
82.3	75.7	9999.9	9999.9	3.6	1.8	6	999.9	92.8	75.2	0	999.9	0
82	74.4	9999.9	9999.9	4	2.5	8	999.9	91.8	75.2	0	999.9	0
82.4	74.1	9999.9	9999.9	4.4	2.6	8	999.9	93.2	77	0	999.9	0
81	74.8	9999.9	9999.9	3.9	2	8	999.9	91.4	77	0.51	999.9	0
80.8	74.3	9999.9	9999.9	3.8	2	6	999.9	88.2	77	0	999.9	0
81.7	75.1	9999.9	9999.9	3.4	2.3	8	999.9	89.2	77	0	999.9	0
79.7	74.6	1008.7	1007	4.1	1	6	999.9	89.6	75.2	99.99	999.9	16
78.1	74.1	9999.9	9999.9	2.5	3	8	999.9	82.4	73.4	0.63	999.9	18
76.8	74.2	9999.9	9999.9	2.3	2.1	8	999.9	80.6	75.2	0.12	999.9	18
75.1	73	9999.9	9999.9	2.2	2.3	5.1	999.9	81.7	71.6	2.6	999.9	18
76.9	73.7	9999.9	9999.9	2.8	1.5	6	999.9	81.7	73.4	3.7	999.9	16
81.4	73.5	9999.9	9999.9	4.2	4.4	8	999.9	87.8	74.8	0.75	999.9	0
81.4	74.4	9999.9	9999.9	4	3.5	8	999.9	90	77	0	999.9	0
81.4	73.9	9999.9	9999.9	4.2	2.6	8.9	999.9	89.6	77	0	999.9	0
80.6	73.4	9999.9	9999.9	3.8	1.2	5.1	999.9	89.6	77	0	999.9	16
75.2	71.2	9999.9	9999.9	2.8	1.2	9.9	999.9	90.3	71.6	0	999.9	18
78.3	71.7	9999.9	9999.9	4	3.2	9.9	999.9	91.4	71.6	0.94	999.9	16
76.9	71.7	9999.9	9999.9	3.1	1.9	7	999.9	91.2	71.6	1.38	999.9	18
79.8	74.5	9999.9	9999.9	3	0.4	8	999.9	90.9	75.2	0.75	999.9	16
78.6	72.9	9999.9	9999.9	3.3	1.5	6	999.9	89.6	75.2	0.16	999.9	18
79.9	73.9	9999.9	9999.9	4.3	2.5	5.1	999.9	89.6	77	1.3	999.9	19
75.5	73.4	9999.9	9999.9	2.2	0.2	4.1	999.9	84.9	71.6	0.98	999.9	18
74	72.1	9999.9	9999.9	2	0.4	2.9	999.9	79.9	73.4	1.08	999.9	18
73.9	71.4	9999.9	9999.9	2.2	5.1	14	999.9	81.3	69.8	0.51	999.9	18
70.6	69.4	9999.9	9999.9	1.5	12.8	20	29.9	75.2	68.7	8.31	999.9	18
80.2	72	9999.9	9999.9	3.7	6.5	14	999.9	88.2	68	5.91	999.9	16
85.3	71.3	9999.9	9999.9	4.2	2.8	8	999.9	93.2	77.7	0.01	999.9	0
84.1	72.6	9999.9	9999.9	3.5	2.4	6	999.9	92.1	78.8	0	999.9	16
83	73.8	9999.9	9999.9	3.2	2.1	6	999.9	89.6	78.8	0	999.9	16
85	73.6	9999.9	9999.9	3.7	3.2	6	999.9	93.2	77.4	0	999.9	0
82.2	74.5	9999.9	9999.9	3.3	1.1	6	999.9	87.8	78.8	0.2	999.9	18
